label,mode,weight,kernel,strength,min_conf,gate_threshold,gate_low_scale,expanded_nodes,search_time_ms,end_to_end_ms,path_length_m,path_points,delta_vs_baseline
learned_spike_safe,learned_spike_safe,0.1,3,0.5,0.1,0.15,0.5,2354,62.722847999793885,510.1604880001105,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.15,3,0.5,0.2,0.2,0.5,2354,63.75450799987448,511.1921480001911,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.1,3,0.5,0.05,0.15,0.5,2354,64.22195100003592,511.6595910003525,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.15,3,0.5,0.1,0.15,0.5,2354,64.91297899992787,512.3506190002445,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.1,3,0.5,0.05,0.2,0.5,2354,65.27665999965393,512.7142999999705,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.15,3,0.5,0.1,0.2,0.5,2354,65.7663579995642,513.2039979998808,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.1,3,0.5,0.2,0.15,0.5,2354,67.67405200025678,515.1116920005734,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.1,3,0.5,0.1,0.2,0.5,2354,67.77909199990972,515.2167320002263,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.15,3,0.5,0.2,0.15,0.5,2354,69.02269999955024,516.4603399998668,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.1,3,0.5,0.2,0.2,0.5,2354,84.39999900019757,531.8376390005142,49.14213562373098,181,-477
learned_spike_safe,learned_spike_safe,0.15,5,0.5,0.05,0.15,0.5,2356,63.578691999282455,511.01633199959906,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.15,5,0.5,0.1,0.2,0.5,2356,64.04682700031117,511.4844670006278,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.15,5,0.5,0.1,0.15,0.5,2356,66.11728200005018,513.5549220003668,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.15,5,0.5,0.2,0.2,0.5,2356,68.8711359998706,516.3087760001872,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.15,5,0.5,0.2,0.15,0.5,2356,70.28018700020766,517.7178270005243,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.1,5,0.5,0.2,0.2,0.5,2356,71.71038700016652,519.1480270004831,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.1,5,0.5,0.05,0.15,0.5,2356,72.04685099986818,519.4844910001848,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.1,5,0.5,0.05,0.2,0.5,2356,72.88328899994667,520.3209290002633,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.15,5,0.5,0.05,0.2,0.5,2356,73.39542800036725,520.8330680006839,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.1,5,0.5,0.2,0.15,0.5,2356,75.79015400006028,523.2277940003769,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.1,5,0.5,0.1,0.2,0.5,2356,76.6586029994869,524.0962429998035,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.1,5,0.5,0.1,0.15,0.5,2356,78.76780900005542,526.205449000372,49.14213562373098,181,-475
learned_spike_safe,learned_spike_safe,0.15,3,1.0,0.05,0.15,0.5,2361,60.70744499993452,508.14508500025113,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,0.75,0.1,0.15,0.5,2361,61.43658500059246,508.87422500090906,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,1.0,0.1,0.15,0.5,2361,63.47262100007356,510.91026100039016,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,1.0,0.1,0.2,0.5,2361,63.6228809999011,511.0605210002177,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,0.75,0.2,0.15,0.5,2361,63.943107000341115,511.3807470006577,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,1.0,0.1,0.2,0.5,2361,63.951061000807385,511.388701001124,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,1.0,0.2,0.15,0.5,2361,64.15180900057749,511.5894490008941,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,1.0,0.2,0.15,0.5,2361,64.18584599941823,511.62348599973484,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,0.75,0.1,0.2,0.5,2361,64.26446699970256,511.70210700001917,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,1.0,0.05,0.15,0.5,2361,64.59430900031293,512.0319490006295,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,1.0,0.2,0.2,0.5,2361,64.94297600056598,512.3806160008826,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,0.75,0.1,0.2,0.5,2361,65.17257099949347,512.6102109998101,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,1.0,0.05,0.2,0.5,2361,65.77978699988307,513.2174270001997,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,0.75,0.1,0.15,0.5,2361,65.8754099995349,513.3130499998515,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,1.0,0.1,0.15,0.5,2361,66.78922399987641,514.226864000193,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,1.0,0.2,0.2,0.5,2361,68.24097700064158,515.6786170009582,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,0.75,0.05,0.2,0.5,2361,68.31420800062915,515.7518480009458,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,0.75,0.05,0.15,0.5,2361,69.36947399935889,516.8071139996755,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.1,3,0.75,0.2,0.2,0.5,2361,69.4521800005532,516.8898200008698,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,0.75,0.2,0.2,0.5,2361,70.0438750000103,517.4815150003269,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,0.75,0.05,0.2,0.5,2361,70.47226000031515,517.9099000006318,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,0.75,0.2,0.15,0.5,2361,70.77266200030863,518.2103020006252,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,0.75,0.05,0.15,0.5,2361,71.10540199937532,518.5430419996919,49.14213562373098,181,-470
learned_spike_safe,learned_spike_safe,0.15,3,1.0,0.05,0.2,0.5,2361,74.18573499944614,521.6233749997627,49.14213562373098,181,-470
